Alpha,Epoch,Train Accuracy,Test Accuracy
0.001,1,0.8299378881987578,0.8315801914667297
0.001,2,0.8347826086956521,0.8365441437182366
0.001,3,0.8386956521739131,0.8398534452192412
0.001,4,0.8396273291925466,0.8404443919158492
0.001,5,0.8397515527950311,0.8435173147382106
0.001,6,0.8409937888198757,0.8423354213449947
0.001,7,0.8407453416149069,0.8456447228459993
0.001,8,0.8416770186335404,0.8448173974707481
0.001,9,0.8419875776397515,0.8449355868100697
0.001,10,0.8416770186335404,0.8464720482212504
0.001,11,0.8421739130434782,0.8467084268998937
0.001,12,0.8440372670807453,0.848363077650396
0.001,13,0.8439130434782609,0.8484812669897175
0.001,14,0.843167701863354,0.8472993735965016
0.001,15,0.8432919254658385,0.8482448883110744
0.001,16,0.8436024844720497,0.8494267817042903
0.001,17,0.8441614906832298,0.8490722136863255
0.001,18,0.8447826086956521,0.8493085923649687
0.001,19,0.8447826086956521,0.8475357522751448
0.001,20,0.8459006211180125,0.8490722136863255
0.001,21,0.8450931677018634,0.8493085923649687
0.001,22,0.8460869565217392,0.8496631603829334
0.001,23,0.8463354037267081,0.8517905684907221
0.001,24,0.8462111801242236,0.849781349722255
0.001,25,0.8457763975155279,0.8500177284008983
0.001,26,0.8452173913043478,0.8495449710436118
0.001,27,0.8460248447204969,0.8507268644368278
0.001,28,0.846583850931677,0.849781349722255
0.001,29,0.8462111801242236,0.8506086750975062
0.001,30,0.8460248447204969,0.8488358350076823
0.001,31,0.8456521739130435,0.8490722136863255
0.001,32,0.8467701863354037,0.8502541070795414
0.001,33,0.8453416149068324,0.848954024347004
0.001,34,0.8477018633540373,0.8491904030256471
0.001,35,0.8454037267080745,0.8496631603829334
0.001,36,0.8470186335403727,0.8495449710436118
0.001,37,0.8452795031055901,0.8498995390615767
0.001,38,0.8477639751552795,0.8502541070795414
0.001,39,0.8467701863354037,0.8491904030256471
0.001,40,0.8483850931677018,0.8494267817042903
0.001,41,0.8460869565217392,0.8498995390615767
0.001,42,0.8475776397515528,0.8501359177402198
0.001,43,0.8460248447204969,0.8507268644368278
0.001,44,0.8467701863354037,0.8523815151873301
0.001,45,0.8473291925465839,0.8510814324547926
0.001,46,0.8475776397515528,0.8508450537761494
0.001,47,0.847888198757764,0.8511996217941141
0.001,48,0.8467701863354037,0.8498995390615767
0.001,49,0.847888198757764,0.850963243115471
0.001,50,0.847639751552795,0.8506086750975062
0.001,51,0.8482608695652174,0.8504904857581846
0.001,52,0.8484472049689441,0.850963243115471
0.001,53,0.8472049689440994,0.8494267817042903
0.001,54,0.8477018633540373,0.8502541070795414
0.001,55,0.8479503105590062,0.8490722136863255
0.001,56,0.8477639751552795,0.8493085923649687
0.001,57,0.8475776397515528,0.8507268644368278
0.001,58,0.8473291925465839,0.8502541070795414
0.001,59,0.8463354037267081,0.849781349722255
0.001,60,0.8470807453416149,0.850963243115471
0.001,61,0.846832298136646,0.850372296418863
0.001,62,0.8472049689440994,0.8504904857581846
0.001,63,0.846832298136646,0.8507268644368278
0.001,64,0.8474534161490683,0.850372296418863
0.001,65,0.847888198757764,0.8508450537761494
0.001,66,0.8458385093167702,0.8476539416144664
0.001,67,0.8471428571428572,0.8494267817042903
0.001,68,0.8477639751552795,0.8507268644368278
0.001,69,0.8474534161490683,0.8496631603829334
0.001,70,0.8467701863354037,0.849781349722255
0.001,71,0.8479503105590062,0.8493085923649687
0.001,72,0.8472670807453416,0.850372296418863
0.001,73,0.8474534161490683,0.8510814324547926
0.001,74,0.8469565217391304,0.8519087578300437
0.001,75,0.8475776397515528,0.8508450537761494
0.001,76,0.8470807453416149,0.8502541070795414
0.001,77,0.8463354037267081,0.8506086750975062
0.001,78,0.845527950310559,0.8488358350076823
0.001,79,0.8470807453416149,0.8495449710436118
